id,date,district,locality,category,department,transcript,sentiment,sentiment_score,priority
18,2025-03-10,Ernakulam,MG Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Ernakulam district, near MG Road, a massive pothole on MG Road caused a bike accident yesterday and someone was injured. People are at risk, please treat this as top priority.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.9,Critical
19,2026-05-17,Thiruvananthapuram,Hospital Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Thiruvananthapuram district, near Hospital Road, there is a dengue outbreak in Hospital Road and the hospital says they are out of essential medicines. This is an emergency, we need help right now.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.92,Critical
20,2025-12-15,Ernakulam,Civil Station Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Ernakulam district, near Civil Station Road, the meter reading at our Civil Station Road residence appears to be incorrect. Kindly forward this to the concerned department.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.06,Medium
21,2025-02-24,Thiruvananthapuram,Panchayat Office area,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Thiruvananthapuram district. In Thiruvananthapuram, near Panchayat Office area, I appreciate how fast the complaint about Panchayat Office area was handled, thank you.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.8,Low
22,2025-10-15,Thrissur,Hospital Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Thrissur district. In Thrissur, near Hospital Road, The recent work done by the Police Department in Hospital Road has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.8,Low
23,2025-06-19,Kozhikode,Collectorate Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kozhikode district, near Collectorate Road, the waste collection timing in Collectorate Road keeps changing without notice. It would help if this could be addressed soon.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.13,Medium
24,2025-04-29,Alappuzha,Beach Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Beach Road, we would like more computers at the Beach Road government school. Kindly forward this to the concerned department.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.28,Medium
25,2025-02-27,Kannur,Beach Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kannur district, near Beach Road, our electricity bill this month seems unusually high and I want it checked. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.26,Medium
26,2026-06-08,Alappuzha,Temple Junction,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Temple Junction, a fire broke out at the open waste dumping site near Temple Junction and smoke is spreading into homes. People are at risk, please treat this as top priority.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.94,Critical
27,2026-03-17,Thiruvananthapuram,Market Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Thiruvananthapuram district. In Thiruvananthapuram, near Market Road, The recent work done by the Revenue Department in Market Road has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.64,Low
28,2025-03-15,Kottayam,Hospital Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kottayam district, near Hospital Road, we are having frequent power cuts of 4 hours every day without prior notice. We have been waiting too long, kindly expedite this.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.41,High
29,2026-02-10,Thrissur,Railway Station Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Thrissur district, near Railway Station Road, can you share details about the new segregation rules for Railway Station Road. Thank you, I just wanted some information.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.03,Low
30,2025-09-17,Idukki,School Lane,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Idukki district, near School Lane, the meter reading at our School Lane residence appears to be incorrect. Kindly forward this to the concerned department.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.14,Medium
31,2025-12-07,Alappuzha,Civil Station Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Civil Station Road, we would like more computers at the Civil Station Road government school. Kindly forward this to the concerned department.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.26,Medium
32,2025-08-24,Alappuzha,Ward 7,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Ward 7, there is no streetlight and no road markings on the new stretch near Ward 7, accidents are increasing. Please get this resolved as soon as possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.6,High
33,2025-06-11,Thrissur,Market Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thrissur district, near Market Road, I wanted to know the opening hours of the Market Road primary health centre. That's all, thanks for your help.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.21,Low
34,2025-06-02,Thrissur,New Bypass,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thrissur district, near New Bypass, can you tell me how to register for the free health camp next week. Okay, thank you for clarifying.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.03,Low
35,2026-04-09,Kozhikode,Ward 12,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kozhikode district, near Ward 12, we are having frequent power cuts of 9 hours every day without prior notice. We have been waiting too long, kindly expedite this.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.71,High
36,2026-02-05,Ernakulam,Ward 12,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Ernakulam district, near Ward 12, there has been no water supply at all for 6 days now and the entire Ward 12 area is affected. This is an emergency, we need help right now.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.91,Critical
37,2025-05-14,Kottayam,Collectorate Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kottayam district, near Collectorate Road, our electricity bill this month seems unusually high and I want it checked. It would help if this could be addressed soon.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.09,Medium
38,2026-03-02,Palakkad,Civil Station Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Palakkad district, near Civil Station Road, can you tell me how to register for the free health camp next week. Okay, thank you for clarifying.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.01,Low
39,2025-03-07,Kottayam,Railway Station Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kottayam district, near Railway Station Road, I want to raise a concern about cleanliness at the Railway Station Road health centre. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.24,Medium
40,2026-02-19,Idukki,Hospital Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Idukki district, near Hospital Road, can you tell me how to register for the free health camp next week. Okay, thank you for clarifying.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.23,Low
41,2025-09-28,Idukki,Ward 12,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near Ward 12, can you share details about the new segregation rules for Ward 12. That's all, thanks for your help.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.17,Low
42,2025-02-14,Thiruvananthapuram,Railway Station Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Thiruvananthapuram district, near Railway Station Road, the bus frequency on the Railway Station Road route has reduced and commuters are facing delays. Kindly forward this to the concerned department.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.29,Medium
43,2025-03-28,Palakkad,Bus Stand area,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Palakkad district, near Bus Stand area, I want to know the process for a new electricity connection. Thank you, I just wanted some information.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.0,Low
44,2025-05-10,Palakkad,Hospital Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Palakkad district, near Hospital Road, we have been getting muddy, discoloured water from the tap for 2 days. Please get this resolved as soon as possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.56,High
45,2025-12-17,Kozhikode,Panchayat Office area,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kozhikode district, near Panchayat Office area, the meter reading at our Panchayat Office area residence appears to be incorrect. Kindly forward this to the concerned department.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.1,Medium
46,2026-02-03,Idukki,Ward 12,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Idukki district, near Ward 12, the meter reading at our Ward 12 residence appears to be incorrect. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.16,Medium
47,2025-05-01,Thrissur,Collectorate Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Thrissur district, near Collectorate Road, can you tell me about the government Akshaya centre services available near Collectorate Road. Thank you, I just wanted some information.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.18,Low
48,2025-07-04,Idukki,Hospital Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Idukki district, near Hospital Road, I wanted to know the opening hours of the Hospital Road primary health centre. That's all, thanks for your help.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.15,Low
49,2026-05-31,Alappuzha,Panchayat Office area,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Alappuzha district. In Alappuzha, near Panchayat Office area, I just wanted to thank the Revenue Department team, the issue in Panchayat Office area was resolved very quickly.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.54,Low
50,2026-01-08,Alappuzha,Panchayat Office area,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Alappuzha district, near Panchayat Office area, I wanted to ask about the admission process for the Panchayat Office area government school. Okay, thank you for clarifying.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.16,Low
51,2025-05-22,Wayanad,Collectorate Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Wayanad district, near Collectorate Road, the scholarship payment for Collectorate Road students has been delayed for 5 days. It would help if this could be addressed soon.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.06,Medium
52,2026-05-28,Idukki,Ward 7,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Idukki district, near Ward 7, waste collection has been irregular in Ward 7 for 7 days and the smell is unbearable. We have been waiting too long, kindly expedite this.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.43,High
53,2026-02-28,Alappuzha,Bus Stand area,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near Bus Stand area, there was a robbery near Bus Stand area last night and residents are demanding immediate police patrolling. Please send someone immediately, this cannot wait any longer.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.98,Critical
54,2026-03-18,Alappuzha,Bus Stand area,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Bus Stand area, people are dumping waste illegally near Bus Stand area and it is attracting stray animals. Please get this resolved as soon as possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.44,High
55,2025-08-14,Kozhikode,Market Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kozhikode district, near Market Road, waste collection has been irregular in Market Road for 5 days and the smell is unbearable. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.63,High
56,2025-07-07,Alappuzha,Industrial Estate,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near Industrial Estate, there have been repeated chain snatching incidents reported near Industrial Estate. Please get this resolved as soon as possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.46,High
57,2025-08-09,Idukki,School Lane,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Idukki district, near School Lane, my income certificate application submitted at the School Lane office has been pending for 3 days. Please get this resolved as soon as possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.63,High
58,2025-08-14,Idukki,Ward 12,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Idukki district, near Ward 12, the water pressure in Ward 12 has dropped so badly that upper floors get nothing. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.42,High
59,2026-02-20,Palakkad,New Bypass,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Palakkad district, near New Bypass, the road in New Bypass has been full of potholes for 4 days and vehicles keep getting damaged. We have been waiting too long, kindly expedite this.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.68,High
60,2026-06-06,Kottayam,Ward 7,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kottayam district, near Ward 7, the broadband bill for Ward 7 connection shows incorrect charges. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.25,Medium
